NO,ê\çûîNåéì˙,ê\çûéûä‘,Åyî}ëÃÉRÅ[ÉhÅzëÂçÄñ⁄,Åyî}ëÃÉRÅ[ÉhÅzè⁄ç◊çÄñ⁄,éÛïtéûä‘ë—ãÊï™,éÛïtå`ë‘ãÊï™,êVãKéûé©ìÆå_ñÒã@ìXî‘,éÊàµìXî‘,ä«óùìXî‘,ê´ï ,îNóÓ,ê∂îNåéì˙,ÇiÇhÇrèZèäÉRÅ[Éh,ì∆ä˘ãÊï™,êVêEéÌãÊï™,ÅyêVêEéÌãÊï™ÅzëÂçÄñ⁄,ÅyêVêEéÌãÊï™Åzè⁄ç◊çÄñ⁄,åŸópå`ë‘ãÊï™,èAã∆å`ë‘ãÊï™,âÔé–ãKñÕãÊï™,çáåvîNé˚,ç›é–åéêî,èZãèãÊï™,ãèèZåéêî,â∆í¿ïâíSäz,â∆ë∞ç\ê¨ãÊï™,ï€åØêEéÌãÊï™,é˚ì¸èÿñæóLñ≥,ì∆êgì‡ñÛ,ìØãèãÊï™,ï}ó{â∆ë∞êî,ï}ó{â∆ë∞éqãüêî,èäìæèÿñæãÊï™,ñºã`ãÊï™,éñã∆å`ë‘ãÊï™,éñã∆èäóLñ≥,ë›ïtîNåéì˙,ÇPÇQÉñåééñåÃ
1004794,2016/4/7,123959,5,99,0,1,223,223,127,1,28,1987/9/14,14203,1,631,6,631,1,1,8,4500000,21,4,21,61000,5,4,0,0,2,0,0,0,0,9,0,2016/4/7,1
1004796,2016/4/8,105936,1,99,0,502,0,127,127,2,30,1985/4/17,14135,1,140,1,140,2,1,7,4080000,42,4,180,0,4,1,1,0,1,0,0,1,0,0,0,2016/4/11,0
1004797,2016/4/8,111012,3,13,0,1701,0,127,127,1,24,1991/7/9,14109,1,640,6,640,4,2,3,300000,1,4,47,48000,5,3,0,0,2,0,0,0,0,0,0,2016/4/8,1
1004798,2016/4/8,202018,1,99,0,502,1781,1781,127,2,20,1995/9/5,14117,1,740,7,740,2,1,3,3000000,0,4,97,0,4,1,0,0,1,0,0,0,0,0,0,2016/4/10,0
1004799,2016/4/8,135951,3,25,0,1701,0,127,127,2,41,1974/11/24,14201,2,814,8,814,2,1,7,4500000,21,8,126,0,1,3,1,0,1,1,0,2,3,0,0,2016/4/11,0
1004800,2016/4/11,132137,1,99,0,1,1696,1696,127,1,48,1968/3/1,14117,1,407,4,407,2,1,7,5000000,264,2,168,80000,5,3,0,0,2,0,0,0,1,0,0,2016/4/11,0
1004801,2016/4/11,135455,5,99,0,1,271,271,127,1,28,1987/6/22,14213,1,704,7,704,2,1,6,2500000,0,4,16,0,5,3,0,0,2,0,0,0,0,0,0,2016/4/11,0
1004802,2016/4/12,114729,3,26,0,1801,2883,2883,127,1,49,1966/7/7,14111,1,423,4,423,2,1,7,4000000,8,4,6,60000,5,3,0,0,2,0,0,0,0,0,0,2016/4/14,1
1004803,2016/4/12,142734,5,99,0,1,3177,3177,127,1,20,1995/9/21,14214,1,540,5,540,3,1,3,3300000,9,8,132,0,4,1,0,0,1,0,0,0,3,0,0,2016/4/12,1
1004804,2016/4/12,151318,1,99,0,101,799,799,127,1,47,1969/1/31,14101,1,640,6,640,3,1,4,3000000,8,4,135,52000,5,1,0,0,2,0,0,0,0,0,0,2016/4/12,0
1004805,2016/4/10,193838,3,8,3,1701,0,4182,127,2,41,1975/4/17,14113,1,209,2,209,1,1,8,4020000,241,4,131,70000,5,4,1,0,2,0,0,1,0,1,0,2016/5/2,1
1004807,2016/4/13,72120,4,2,0,1801,0,127,127,1,23,1993/3/18,14201,1,1340,13,1340,2,2,2,2400000,1,4,26,40000,5,1,0,0,2,0,0,0,0,0,0,2016/4/17,1
1004808,2016/4/14,140446,3,2,0,1801,0,127,127,2,25,1990/10/17,14382,1,525,5,525,4,1,7,1440000,24,7,24,2000,5,1,0,0,2,0,0,0,0,0,0,2016/4/20,0
1004809,2016/4/14,155106,1,99,0,1801,91,91,127,1,24,1991/8/30,14217,1,640,6,640,5,2,6,1560000,15,4,10,40000,5,3,0,0,2,0,0,0,0,0,0,2016/4/15,1
1004810,2016/4/15,125658,5,99,0,1,933,933,127,1,68,1947/10/21,14342,2,631,6,631,4,1,4,4000000,564,4,70,0,1,3,0,0,1,1,0,0,0,0,0,2016/4/15,0
1004811,2016/4/15,152657,4,2,0,1801,0,127,127,2,28,1988/2/17,14104,1,1540,15,1540,5,1,9,3600000,11,4,25,65000,5,3,0,0,2,0,0,0,0,0,0,2016/4/15,0
1004812,2016/4/16,94216,5,99,1,101,1817,1817,127,2,23,1992/7/8,14215,2,1505,15,1505,4,1,6,2400000,13,4,47,1000,2,3,0,0,1,2,1,0,0,0,0,2016/4/16,0
1004813,2016/4/18,174927,3,8,0,1701,0,127,127,1,22,1994/4/13,14112,1,240,2,240,2,1,6,3500000,25,4,37,67000,5,1,0,0,2,0,0,0,0,0,0,2016/4/19,1
1004814,2016/4/19,111113,1,99,0,1701,0,127,127,2,39,1976/8/26,14109,1,840,8,840,2,1,4,3300000,120,8,170,0,4,1,0,0,1,2,2,0,3,0,0,2016/4/26,0
1004816,2016/4/20,181543,4,2,0,1801,271,271,127,1,29,1986/12/4,14114,1,440,4,440,2,1,7,3500000,18,4,18,30000,5,1,0,0,2,0,0,0,0,0,0,2016/4/21,0
1004817,2016/4/21,184818,1,99,0,600,0,127,127,2,57,1959/3/6,14107,1,840,8,840,2,1,4,3088000,20,4,8,60000,5,1,1,0,2,0,0,1,0,0,0,2016/4/25,0
1004818,2016/4/21,143609,3,2,0,1701,3223,3223,127,1,22,1994/1/17,14134,1,209,2,209,2,1,6,4500000,26,4,26,100000,5,1,0,0,2,0,0,0,0,0,0,2016/4/23,0
1004819,2016/4/22,200928,5,99,0,1,374,374,127,1,25,1990/8/27,14203,1,631,6,631,2,1,7,2760000,15,4,15,33000,5,3,0,0,2,0,0,0,0,0,0,2016/4/22,0
1004820,2016/4/22,210624,5,99,0,1,2771,2771,127,2,30,1985/9/5,14101,1,103,1,103,2,1,6,3588000,119,4,60,57000,4,1,1,0,1,0,0,1,0,0,0,2016/4/25,0
1004821,2016/4/23,180123,5,99,1,1,1447,1447,127,2,58,1958/2/10,14207,1,640,6,640,4,1,4,1200000,1,4,172,40000,5,1,0,0,2,0,0,0,0,0,0,2016/4/23,0
1004825,2016/4/27,134216,2,24,0,1701,0,4182,127,1,61,1955/1/20,14131,2,1540,15,1540,4,1,7,3000000,96,4,95,60000,1,3,0,0,1,1,0,0,0,0,0,2016/5/2,0
1004826,2016/4/28,91119,1,99,0,101,118,118,127,1,22,1993/12/10,14212,1,640,6,640,4,1,3,800000,3,4,19,30000,4,3,0,0,1,0,0,0,0,0,0,2016/4/28,0
1004827,2016/4/28,50043,3,8,0,1801,0,127,127,1,39,1976/7/26,14106,1,640,6,640,2,1,5,5000000,54,4,48,54000,5,1,0,0,2,0,0,0,0,0,0,2016/4/28,1
1004829,2016/4/28,93017,4,2,0,1801,0,127,127,1,34,1982/1/7,14136,2,423,4,423,1,1,9,6000000,133,8,15,0,2,4,0,0,1,3,1,0,3,9,0,2016/4/28,0
1004830,2016/4/27,221316,3,8,0,1701,0,4182,127,1,20,1996/4/6,14137,1,715,7,715,4,1,3,1560000,13,1,241,0,4,3,0,0,1,0,0,0,2,0,0,2016/5/8,0
1004831,2016/4/23,150514,3,2,1,1801,0,127,127,1,24,1991/5/28,14115,2,423,4,423,1,1,9,2172000,38,4,19,65000,3,4,1,0,1,4,2,3,0,9,0,2016/4/29,0
1004832,2016/4/28,232819,3,8,3,1801,3177,3177,127,1,39,1976/5/7,14211,1,423,4,423,1,1,5,8000000,73,7,85,0,5,4,0,0,2,0,0,0,0,9,0,2016/5/1,0
1004833,2016/5/1,201408,3,24,3,1701,0,127,127,1,27,1988/9/21,14134,1,540,5,540,4,1,2,2300000,7,4,186,0,4,3,0,0,1,0,0,0,0,0,0,2016/5/3,0
1004834,2016/5/2,145701,5,99,0,1,3186,3186,127,1,21,1994/7/28,14205,1,540,5,540,4,1,9,700000,23,8,188,0,4,3,0,0,1,0,0,0,3,0,0,2016/5/2,0
1004835,2016/5/3,203938,3,24,3,1701,0,127,127,1,23,1992/7/11,14134,2,525,5,525,2,1,5,2500000,13,4,26,0,2,3,0,0,1,2,1,0,0,0,0,2016/5/4,0
1004837,2016/5/5,185431,3,2,3,1801,0,127,127,1,41,1974/9/23,14116,1,1040,10,1040,2,1,1,4000000,65,1,86,0,4,1,0,0,1,0,0,0,2,0,0,2016/5/6,0
1004839,2016/5/6,140853,5,99,0,1,2810,2810,127,1,24,1991/9/28,14108,2,640,6,640,4,1,6,2300000,15,4,296,0,2,3,0,0,2,2,1,0,0,0,0,2016/5/21,0
1004841,2016/5/7,134757,5,99,1,1,1781,1781,127,1,35,1980/11/19,13209,1,631,6,631,2,1,7,2400000,181,8,426,0,4,3,0,0,1,0,0,0,3,0,0,2016/5/10,0
1004842,2016/5/7,185321,1,99,1,1701,1860,1860,127,1,24,1991/10/19,14112,1,640,6,640,4,1,5,2800000,39,8,295,0,4,1,0,0,1,0,0,0,3,0,0,2016/5/7,0
1004843,2016/5/8,50013,3,9,3,502,0,127,127,1,46,1970/2/28,14108,1,440,4,440,5,2,4,2500000,1,4,54,36000,5,3,0,0,2,0,0,0,0,0,0,2016/5/13,0
1004844,2016/5/9,103138,5,99,0,0,0,127,127,1,51,1964/8/18,14105,1,1340,13,1340,5,1,5,2000000,140,4,140,35000,4,1,0,1,1,0,0,0,0,0,0,2016/5/9,0
1004846,2016/5/8,83205,1,99,3,1801,0,127,127,1,36,1979/8/31,14118,2,1340,13,1340,2,1,2,5000000,157,4,26,60000,1,1,0,0,1,1,0,0,0,0,0,2016/5/11,1
1004847,2016/5/9,184314,1,99,0,1801,0,127,127,1,28,1988/4/12,14131,1,340,3,340,2,1,5,5700000,73,4,47,72000,5,1,0,0,2,0,0,0,0,0,0,2016/5/11,1
1004848,2016/5/8,195340,4,2,3,502,0,127,127,1,43,1972/12/21,14104,1,1109,11,1109,3,1,7,5300000,35,4,64,56000,5,3,0,0,0,0,0,0,0,0,0,2016/5/15,1
1004849,2016/5/10,123612,5,99,0,1,799,799,127,1,26,1989/11/5,14105,1,140,1,140,2,1,2,4648000,37,8,318,0,4,1,1,0,1,0,0,2,3,0,0,2016/5/10,0
1004851,2016/5/11,12646,3,10,0,1701,0,127,127,1,25,1991/4/25,14109,2,1340,13,1340,3,1,2,3000000,21,4,9,82000,2,1,0,0,1,3,1,0,0,0,0,2016/5/11,0
1004852,2016/5/11,142734,5,99,0,1,933,933,127,1,33,1983/3/5,14110,1,640,6,640,2,1,6,2500000,105,7,106,0,5,1,0,0,2,0,0,0,0,0,0,2016/5/11,0
1004854,2016/5/11,192607,3,8,0,1701,0,127,127,1,46,1969/9/16,14109,2,640,6,640,2,1,4,3793000,66,4,252,89000,2,1,1,0,1,3,1,1,0,0,0,2016/5/15,0
1004856,2016/5/12,153955,3,2,0,1801,0,127,127,2,43,1972/8/8,14214,2,525,5,525,2,2,7,1000000,23,4,91,45000,1,3,0,0,1,1,0,0,0,0,0,2016/5/16,0
1004858,2016/5/13,180951,3,8,0,1801,0,127,127,2,47,1968/9/12,14114,2,814,8,814,2,1,4,2500000,1,4,15,0,1,3,0,0,1,1,0,0,0,0,0,2016/5/13,0
1004859,2016/5/12,223553,1,99,0,502,0,127,127,1,31,1985/1/1,14131,1,640,6,640,2,3,6,4000000,55,8,376,0,4,1,0,0,1,0,0,0,3,0,0,2016/5/17,0
1004860,2016/5/14,145857,3,2,1,502,2980,2980,127,1,26,1990/5/14,14133,1,1140,11,1140,2,3,4,2631000,9,4,9,45000,5,1,1,0,2,0,0,2,0,0,0,2016/5/14,0
1004862,2016/5/14,201434,1,99,1,101,2908,2908,127,1,24,1991/10/6,14205,1,240,2,240,4,1,8,3000000,18,4,108,0,4,3,0,0,1,0,0,0,0,0,0,2016/5/14,0
1004864,2016/5/14,233459,4,2,3,1801,1696,1696,127,1,22,1994/1/4,14118,1,631,6,631,2,1,6,3500000,8,4,8,80000,5,3,0,0,2,0,0,0,0,0,0,2016/5/16,1
1004865,2016/5/17,102034,5,99,0,1,2883,2883,127,1,56,1959/5/18,14111,1,440,4,440,2,1,7,3500000,104,4,104,50000,5,1,0,0,2,0,0,0,0,0,0,2016/5/17,0
1004866,2016/5/18,92828,1,99,0,101,2892,2892,127,1,35,1981/2/23,14117,2,240,2,240,2,1,4,4480000,1,4,48,80000,2,1,0,0,1,2,1,0,0,0,0,2016/5/18,0
1004867,2016/5/17,204325,3,8,0,1801,0,127,127,1,21,1995/4/20,14203,1,440,4,440,2,1,8,1680000,7,1,253,0,4,1,0,0,1,0,0,0,2,0,0,2016/5/18,0
1004868,2016/5/19,113651,5,99,0,1,2943,2943,127,2,56,1959/9/4,14131,1,101,1,101,2,1,7,3600000,47,4,12,0,5,3,0,0,2,0,0,0,0,0,0,2016/5/19,0
1004869,2016/5/19,155237,5,99,0,1,223,223,127,1,53,1963/3/26,14203,1,640,6,640,4,1,3,2000000,252,4,74,36000,5,1,0,0,2,0,0,0,0,0,0,2016/5/19,0
1004870,2016/5/19,141312,3,10,0,1701,0,127,127,1,21,1994/9/2,14215,1,540,5,540,2,1,4,2400000,13,4,1,20000,5,1,0,0,2,0,0,0,0,0,0,2016/5/20,1
1004871,2016/5/19,184936,3,15,0,502,0,127,127,2,23,1993/5/24,14105,1,540,5,540,2,1,1,3700000,51,8,165,0,4,1,0,0,1,0,0,0,3,0,0,2016/7/5,0
1004872,2016/5/20,172940,5,99,0,1,2883,2883,127,2,63,1953/2/13,14107,2,525,5,525,4,1,8,1400000,115,8,289,0,2,3,0,0,1,2,1,0,3,0,0,2016/5/20,0
1004873,2016/5/20,195747,4,2,0,1801,127,127,127,1,40,1976/4/17,14109,1,140,1,140,2,1,1,4000000,133,4,62,80000,5,1,0,0,2,0,0,0,0,0,0,2016/5/20,1
1004874,2016/5/21,122507,5,99,1,1,2923,2923,127,1,39,1976/12/10,14213,2,640,6,640,2,1,3,3440000,100,4,185,20000,2,1,0,0,1,3,2,0,0,0,0,2016/5/21,0
1004875,2016/5/21,143219,1,99,1,1701,0,127,127,1,20,1996/3/19,14136,1,540,5,540,4,1,9,1020000,22,8,202,0,4,3,0,0,1,2,0,0,3,0,0,2016/5/23,0
1004878,2016/5/25,100808,3,15,0,1801,0,127,127,2,33,1983/1/7,14112,2,640,6,640,4,1,7,1700000,46,4,15,100000,3,3,0,0,1,7,5,0,0,0,0,2016/5/25,0
1004881,2016/5/24,212649,3,2,0,1701,0,4183,127,2,31,1985/6/2,14103,1,101,1,101,2,1,3,3500000,13,4,2,94000,5,1,0,0,2,0,0,0,0,0,0,2016/6/26,0
1004882,2016/5/26,201913,5,99,0,1,374,374,127,1,20,1996/4/4,14204,1,630,6,630,2,1,7,3600000,25,4,241,0,5,3,0,0,2,0,0,0,0,0,0,2016/5/27,1
1004884,2016/5/28,141624,5,99,1,1,3256,3256,127,1,63,1952/6/8,14107,1,423,4,423,4,1,9,3000000,23,8,11,0,5,3,0,0,2,0,0,0,3,0,0,2016/5/28,1
1004885,2016/5/28,101232,1,99,1,1701,0,127,127,2,45,1970/8/23,14106,2,140,1,140,4,1,2,2600000,84,4,57,103000,1,1,0,0,1,1,0,0,0,0,0,2016/5/31,0
1004886,2016/5/30,110820,5,99,0,1,2792,2792,127,2,41,1975/3/23,14131,1,101,1,101,2,1,7,4000000,49,4,23,73000,4,3,0,0,1,0,0,0,0,0,0,2016/5/30,0
1004888,2016/5/30,114233,3,8,0,1701,0,4226,127,1,51,1965/3/17,14134,1,1340,13,1340,2,1,4,2754000,251,8,144,0,4,1,1,0,1,2,0,1,3,0,0,2016/9/26,0
1004889,2016/5/30,165930,5,99,0,1,1601,1601,127,2,25,1990/11/30,14203,1,101,1,101,2,1,8,2400000,6,5,24,28000,4,3,0,0,1,3,3,0,0,0,0,2016/5/30,1
1004890,2016/5/30,175814,5,99,0,1,2922,2922,127,1,53,1963/2/5,14134,1,640,6,640,5,2,4,1800000,97,4,605,0,4,3,0,0,1,0,0,1,0,0,0,2016/5/31,0
1004891,2016/5/30,151130,3,24,0,502,0,127,127,1,42,1973/9/14,14207,1,140,1,140,4,1,8,1020000,169,8,417,0,4,3,0,0,1,0,0,0,3,0,0,2016/5/31,0
1004892,2016/5/31,105525,5,99,0,1,3185,3185,127,1,68,1948/3/31,14205,2,631,6,631,3,1,4,1230000,31,5,39,50000,1,3,0,0,1,1,0,0,0,0,0,2016/6/1,0
1004893,2016/5/25,134614,3,2,0,1701,0,127,127,1,40,1975/8/11,14205,2,340,3,340,2,1,4,4422000,50,2,36,9000,3,1,1,0,1,4,1,1,1,0,0,2016/5/31,0
1004894,2016/5/31,25520,4,2,0,1801,0,4182,127,1,50,1966/1/11,14383,1,540,5,540,2,1,6,5580000,15,1,345,0,4,1,0,0,1,0,0,0,2,0,0,2016/6/4,0
1004897,2016/6/1,232040,1,99,0,502,0,127,127,1,29,1987/4/8,14212,2,240,2,240,2,1,4,4000000,17,4,25,80000,2,1,0,0,1,3,1,0,0,0,0,2016/6/2,0
1004898,2016/6/1,163146,1,99,0,101,1447,1447,127,1,39,1977/1/27,14321,1,740,7,740,2,1,3,3000000,17,8,473,0,4,1,1,0,1,0,0,2,3,0,0,2016/6/2,0
1004899,2016/6/2,142549,5,99,0,1,2908,2908,127,2,53,1962/9/9,14342,2,503,5,503,4,1,4,1200000,146,4,146,0,1,1,0,0,1,1,0,0,0,0,0,2016/6/6,0
1004900,2016/6/2,155412,3,2,0,1801,0,127,127,1,30,1986/4/18,14216,1,740,7,740,2,1,6,3300000,120,4,205,0,4,1,0,0,1,0,0,0,0,0,0,2016/6/2,1
1004901,2016/6/3,141651,3,8,0,1801,0,127,127,2,29,1987/2/21,14117,1,540,5,540,4,1,4,2600000,26,4,18,0,5,1,0,0,2,0,0,0,0,0,0,2016/6/12,0
1004902,2016/6/3,114929,3,9,0,1701,0,127,127,2,38,1977/7/3,14208,1,640,6,640,4,1,5,3000000,5,8,5,0,4,1,0,0,1,0,0,0,3,0,0,2016/6/6,0
1004903,2016/6/5,172331,3,24,3,502,0,127,127,1,25,1991/2/27,14108,1,140,1,140,4,1,3,1200000,68,4,70,70000,4,3,0,0,1,0,0,0,0,0,0,2016/6/7,0
1004905,2016/6/6,221624,3,9,0,1801,0,127,127,1,35,1980/11/11,14213,2,440,4,440,2,1,3,5760000,167,4,41,80000,3,1,0,0,1,4,2,0,0,0,0,2016/6/7,0
1004906,2016/6/8,70305,3,8,0,1801,118,118,127,1,45,1971/6/3,14216,1,423,4,423,2,1,7,2900000,3,4,3,32000,5,3,0,0,2,0,0,0,0,0,0,2016/6/8,1
1004907,2016/6/10,191034,5,99,0,1,3186,3186,127,1,43,1972/8/2,13123,1,640,6,640,2,2,3,2800000,7,7,241,0,4,1,0,0,1,0,0,0,0,0,0,2016/6/10,0
1004908,2016/6/11,142941,5,99,1,1,381,381,127,2,35,1981/3/4,14109,2,640,6,640,4,1,4,1000000,78,4,78,38000,1,3,0,0,2,1,0,0,0,0,0,2016/6/11,1
1004911,2016/6/17,115215,5,99,0,1,3148,3148,127,2,31,1985/5/18,14201,1,540,5,540,4,1,6,840000,20,8,54,0,4,3,0,0,1,2,2,0,3,0,0,2016/6/17,0
1004912,2016/6/17,202807,5,99,0,1,91,91,127,1,20,1996/3/22,14217,1,409,4,409,2,1,8,3600000,30,8,243,0,4,3,0,0,1,0,0,0,3,0,0,2016/6/17,0
1004913,2016/6/19,121346,5,99,3,1,1571,1571,127,1,34,1981/11/10,14107,1,631,6,631,2,1,5,4300000,2,4,2,0,5,1,0,0,2,0,0,0,0,0,0,2016/6/19,0
1004914,2016/6/20,144913,3,18,0,1701,0,127,127,1,20,1995/12/1,14213,1,540,5,540,4,1,3,1200000,24,8,226,0,4,3,0,0,1,0,0,0,3,0,0,2016/6/20,0
1004915,2016/6/21,114740,1,99,0,101,2922,2922,127,1,26,1989/9/20,14134,2,711,7,711,2,1,4,2400000,13,4,8,72000,1,3,0,0,1,1,0,0,0,0,0,2016/6/21,0
1004916,2016/6/20,204452,3,15,0,1801,0,127,127,1,49,1967/3/10,14110,2,108,1,108,1,1,9,5000000,115,8,446,0,2,4,0,0,2,3,1,0,3,9,0,2016/6/22,0
1004918,2016/6/22,182923,1,99,0,101,1817,1817,127,1,21,1995/2/13,14212,1,640,6,640,3,1,4,2400000,35,8,190,0,4,1,0,0,1,0,0,0,3,0,0,2016/6/22,0
1004919,2016/6/23,163012,3,8,0,1701,0,127,127,1,35,1981/5/1,14136,1,108,1,108,3,1,3,383000,74,8,225,0,4,3,0,0,1,0,0,0,3,0,0,2016/6/23,0
1004920,2016/6/23,212013,5,99,0,1,2846,2846,127,1,20,1996/4/29,14201,1,631,6,631,2,1,7,3000000,27,2,59,80000,4,3,0,0,1,8,0,0,2,0,0,2016/6/24,0
1004921,2016/6/20,125220,1,99,0,101,3216,3216,127,1,22,1993/9/2,13112,2,631,6,631,2,1,6,4020000,49,4,26,88000,2,3,0,0,1,2,0,0,0,0,0,2016/6/26,1
1004923,2016/6/27,182100,5,99,0,1,2817,2817,127,1,20,1996/6/26,14117,1,540,5,540,4,1,4,2030000,9,8,201,0,4,3,0,0,1,0,0,0,3,0,0,2016/6/27,0
1004925,2016/6/29,165739,3,18,0,1701,0,127,127,1,23,1992/8/8,14203,1,1340,13,1340,4,1,2,2150000,0,4,95,80000,5,3,0,0,2,0,0,0,0,0,0,2016/6/30,0
1004927,2016/6/30,124038,3,8,0,1701,0,127,127,1,47,1968/12/24,14201,2,1340,13,1340,2,1,2,5090000,107,2,43,79000,1,1,1,0,1,1,0,1,1,0,0,2016/6/30,0
1004929,2016/6/30,201633,5,99,0,1,3216,3216,127,1,23,1993/6/28,14135,1,640,6,640,2,1,8,1800000,25,8,276,0,4,1,0,0,1,0,0,0,3,0,0,2016/6/30,0
1004930,2016/7/1,91519,3,13,0,1801,0,127,127,1,31,1985/2/5,14115,1,640,6,640,2,1,5,2800000,27,4,2,0,5,1,0,0,2,0,0,0,0,0,0,2016/7/1,0
1004931,2016/7/1,201506,1,99,0,1801,0,127,127,2,47,1969/5/29,14111,2,640,6,640,4,1,3,1100000,63,1,62,0,1,1,0,0,1,1,0,0,2,0,0,2016/7/2,0
1004932,2016/6/30,102804,3,4,0,1701,244,244,127,2,44,1971/7/29,14105,2,1328,13,1328,2,1,6,3500000,38,4,62,90000,2,3,0,0,2,2,0,0,0,0,0,2016/7/2,1
1004933,2016/7/2,112210,1,99,1,1701,1646,1646,127,1,22,1993/8/23,14364,1,240,2,240,2,1,7,2760000,1,8,123,0,4,1,0,0,1,0,0,0,3,0,0,2016/7/2,0
1004934,2016/7/2,151230,1,99,1,101,2792,2792,127,1,25,1991/4/21,14101,1,540,5,540,4,1,8,1200000,10,4,12,0,4,3,0,0,1,0,0,0,0,0,0,2016/7/3,0
1004936,2016/7/3,94711,3,9,3,502,0,127,127,2,36,1980/5/15,14117,1,140,1,140,3,1,2,3545000,18,8,108,0,4,1,1,0,1,0,0,1,3,0,0,2016/7/7,0
1004938,2016/7/4,71010,3,15,0,1701,0,127,127,1,32,1984/6/10,14117,1,240,2,240,2,1,5,5980000,19,8,159,0,5,1,0,0,2,0,0,0,3,0,0,2016/7/6,0
1004939,2016/7/4,5312,3,8,0,1801,0,127,127,2,43,1972/11/1,14108,2,525,5,525,1,1,9,950000,255,4,69,0,1,4,0,0,1,1,0,0,0,9,0,2016/7/4,0
1004940,2016/7/4,161344,3,15,0,1801,118,118,127,1,20,1996/1/7,14218,1,540,5,540,4,1,2,900000,27,1,39,0,4,3,0,0,1,0,0,0,2,0,0,2016/7/4,0
1004941,2016/7/4,151247,3,2,0,1701,0,127,127,2,30,1986/5/31,14216,2,540,5,540,4,1,6,1400000,61,4,100,0,3,1,0,0,1,4,2,0,0,0,0,2016/7/25,0
1004942,2016/7/5,111512,1,99,0,1701,0,127,127,2,20,1995/12/10,14133,1,540,5,540,4,1,6,1100000,65,8,180,0,4,3,0,0,1,3,0,0,3,0,0,2016/7/11,0
1004943,2016/7/1,135205,5,99,0,1,1475,1475,127,1,47,1968/8/17,14131,1,631,6,631,4,1,3,3000000,1,4,235,0,5,3,0,0,2,0,0,0,0,0,0,2016/7/25,0
1004945,2016/7/7,175556,3,8,0,502,0,127,127,2,46,1970/2/9,14215,1,1340,13,1340,2,1,5,2700000,253,4,163,57000,5,1,0,0,2,0,0,0,0,0,0,2016/7/25,0
1004946,2016/7/8,172548,5,99,0,1,1601,1601,127,1,23,1993/1/14,14211,1,630,6,630,2,1,8,3600000,50,4,11,0,5,3,0,0,2,0,0,0,0,0,0,2016/7/8,1
1004947,2016/7/9,132857,4,2,1,502,1817,1817,127,1,21,1995/1/5,14214,1,540,5,540,4,1,2,1500000,6,4,184,0,4,3,0,0,1,0,0,0,0,0,0,2016/7/9,1
1004949,2016/7/9,194102,5,99,1,1,2859,2859,127,1,32,1983/10/15,14115,1,631,6,631,2,1,7,3500000,3,4,3,0,4,3,0,0,1,0,0,0,0,0,0,2016/7/10,0
1004950,2016/7/9,200146,1,99,1,101,127,127,127,1,22,1994/2/13,14102,1,631,6,631,3,1,2,4100000,13,4,169,25000,4,3,0,0,1,0,0,0,0,0,0,2016/7/9,1
1004951,2016/7/10,75516,3,5,3,1701,0,127,127,2,21,1994/10/26,14101,1,540,5,540,2,1,4,2100000,15,4,261,0,4,1,0,0,1,0,0,0,0,0,0,2016/7/10,0
1004952,2016/7/13,130135,5,99,0,1,2792,2792,127,1,53,1963/5/27,14133,1,640,6,640,2,1,5,2953000,39,4,179,0,4,1,1,0,1,0,0,1,0,0,0,2016/7/15,0
1004953,2016/7/13,154536,1,99,0,1,1860,1860,127,1,39,1977/5/13,14112,1,630,6,630,5,1,8,3600000,15,4,74,39000,5,3,0,1,2,0,0,0,0,0,0,2016/7/13,0
1004954,2016/7/13,110929,3,8,0,1801,127,127,127,1,38,1977/8/23,14104,1,140,1,140,2,1,5,5000000,171,8,147,0,5,1,0,0,2,0,0,0,3,0,0,2016/7/16,0
1004956,2016/7/14,164335,1,99,0,502,0,127,127,1,22,1994/7/13,14206,1,140,1,140,5,2,4,1500000,5,1,243,0,4,3,0,0,1,0,0,0,2,0,0,2016/7/14,0
1004957,2016/7/15,112406,1,99,0,101,2792,2792,127,1,21,1994/8/7,14133,1,423,4,423,2,1,7,4000000,38,4,44,120000,4,3,0,0,1,0,0,0,0,0,0,2016/7/15,1
1004959,2016/7/17,164159,1,99,3,1,3216,3216,127,1,41,1975/1/2,14135,1,640,6,640,2,2,4,4500000,1,4,1,45000,5,1,0,0,2,0,0,0,0,0,0,2016/7/24,0
1004960,2016/7/18,133202,1,99,3,1701,799,799,127,1,20,1996/1/11,14102,1,540,5,540,4,1,2,800000,26,4,195,0,4,3,1,0,1,0,0,2,0,0,0,2016/7/19,0
1004961,2016/7/17,153426,1,99,3,502,0,127,127,1,22,1994/7/4,14101,1,240,2,240,2,1,4,3500000,0,8,123,0,4,1,0,0,1,0,0,0,3,0,0,2016/7/19,0
1004962,2016/7/16,195319,3,2,1,1801,3216,3216,127,1,37,1978/9/7,14135,2,840,8,840,2,1,4,2500000,3,4,13,93000,2,1,0,0,1,3,1,0,0,0,0,2016/7/20,0
1004963,2016/7/21,153303,3,12,0,1701,0,127,127,2,29,1986/11/17,14104,1,1340,13,1340,4,1,7,4500000,18,4,35,12000,5,3,0,0,2,0,0,0,0,0,0,2016/7/21,0
1004964,2016/7/22,62936,5,99,0,1,2860,2860,127,1,45,1971/1/2,14211,2,631,6,631,2,1,7,4000000,5,4,5,0,2,3,1,0,2,2,0,2,0,0,0,2016/7/22,0
